"class" "V1" "V10" "V11" "V12" "V13" "V15" "V16" "V17" "V18" "V19" "V2" "V20" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V3" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V4" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V5" "V6" "V7" "V8" "V9"
"1" 0 0 1 0 0 624 1 0 0 0 0 0 0 0 0 588 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 68 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 289 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 169 404 0 0 0 0 0 0 0 0 1 1 0 1 0
"0" 0 0 0 0 0 562 1 1 0 0 0 0 0 0 0 566 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 124 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 566 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 82 404 1 0 0 0 0 0 0 1 0 0 0 1 1
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 404 0 0 0 0 0 0 0 0 0 1 1 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 1 0 444 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 151 636 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 222 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 179 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 544 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 242 404 0 0 0 0 0 0 0 1 1 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 0 0 0 0 0 1 733 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 106 404 1 0 0 0 0 0 0 1 0 0 0 0 0
"0" 0 0 1 0 0 562 0 0 0 0 0 0 0 0 1 555 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 108 404 0 0 0 0 0 0 0 1 1 0 0 0 0
"1" 0 453 0 0 0 812 1 0 0 1 0 0 0 0 0 333 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 103 605 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 125 1 0 0 1 0 0 0 1 0 722 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 59 404 0 0 0 1 0 0 0 0 0 0 0 0 0
"1" 0 0 0 0 0 562 0 0 0 1 0 0 0 1 1 333 0 1 0 0 0 0 0 999 0 0 0 0 0 0 0 287 404 0 0 0 0 0 0 0 0 0 0 1 0 0
"0" 0 0 0 0 0 812 0 0 0 0 0 0 0 0 0 477 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 201 343 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 404 1 0 0 0 0 0 0 0 0 1 0 1 0
"0" 0 0 0 0 0 562 1 0 0 0 0 0 0 0 0 300 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 134 383 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 411 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 69 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 562 0 0 1 0 1 0 0 0 0 355 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 110 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 437 1 1 0 1 0 0 0 0 1 311 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 135 404 1 0 0 0 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 749 0 0 0 1 0 0 1 0 1 333 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 263 404 1 0 0 0 0 0 0 0 0 0 0 0 0
"1" 0 0 0 0 0 562 1 0 0 1 0 0 1 0 1 411 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 71 404 0 0 0 1 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 244 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 81 404 0 0 0 0 0 0 0 0 0 0 1 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 677 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 240 404 0 1 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 1 1 0 0 644 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 138 404 0 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 375 0 0 0 1 0 0 0 1 0 366 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 66 363 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 411 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 116 404 1 1 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 477 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 120 494 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 812 1 0 0 0 0 0 0 0 1 588 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 368 353 0 0 0 1 0 0 0 0 0 0 0 0 1
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 599 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 215 404 0 0 0 0 0 1 0 0 1 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 0 1 0 0 0 1 411 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 221 404 0 0 0 1 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 562 1 0 0 0 0 0 0 0 0 755 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 107 151 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 0 0 0 0 0 0 744 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 25 404 0 0 0 1 1 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 437 1 0 0 1 0 0 0 0 0 211 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 26 404 0 1 0 0 0 0 0 0 0 0 1 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 233 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 158 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 1 311 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 55 404 1 1 0 0 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 477 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 30 605 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 874 1 0 0 0 1 0 1 0 0 566 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 170 505 0 0 0 0 0 0 0 1 1 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 1 0 0 344 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 49 404 0 0 0 0 0 0 0 0 0 0 1 0 0
"0" 0 0 0 0 0 812 0 0 0 1 0 0 0 0 0 500 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 117 565 0 0 0 0 0 0 0 0 1 1 0 1 1
"0" 0 0 0 0 0 437 1 0 0 1 0 0 0 0 0 200 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 108 81 0 1 0 0 0 0 0 0 0 0 1 1 0
"1" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 488 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 65 404 0 0 0 1 0 0 0 0 0 0 0 1 1
"0" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 400 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 25 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"1" 0 0 0 1 0 812 1 0 0 0 1 0 0 0 0 577 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 148 454 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 937 1 0 0 1 0 0 0 0 0 500 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 76 605 0 0 0 1 0 0 0 0 0 0 0 1 1
"1" 0 0 0 0 0 562 1 1 0 1 0 0 0 0 0 444 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 133 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 311 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 146 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 1 0 1 0 0 0 0 0 677 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 118 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 511 0 0 0 0 0 0 1 73 0 1 0 0 0 0 0 215 454 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 1 0 0 1 0 0 1 0 0 333 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 135 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 1 1 0 0 0 0 0 0 1 311 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 197 404 1 0 0 0 1 0 0 0 0 0 0 0 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 433 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 69 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 477 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 233 484 0 0 0 1 0 0 0 0 0 0 0 1 1
"1" 0 0 0 0 0 624 1 1 0 1 0 0 0 0 0 488 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 140 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 624 1 0 0 0 0 0 0 0 0 500 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 224 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 389 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 125 555 0 0 0 0 0 1 0 0 1 0 0 1 0
"1" 0 0 0 0 1 624 1 0 0 0 0 0 0 0 0 566 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 260 81 1 0 0 0 1 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 937 1 0 0 0 1 0 0 0 0 433 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 44 555 1 0 0 0 0 0 0 0 0 0 0 1 1
"0" 0 0 0 0 0 562 0 1 0 1 0 0 0 0 0 322 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 113 404 0 0 0 0 0 0 0 0 1 0 0 1 0
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 278 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 169 81 1 0 0 0 0 0 0 0 0 0 0 1 1
"0" 0 0 0 0 1 687 1 0 0 1 0 0 0 0 0 377 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 268 535 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 459 0 0 0 562 0 0 0 1 0 0 0 0 1 400 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 200 404 1 1 0 0 0 0 0 0 0 0 0 0 0
"1" 0 0 0 0 0 812 1 0 0 0 0 0 1 0 0 733 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 94 404 0 0 0 1 1 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 488 0 0 0 0 0 0 1 150 0 0 0 0 0 0 0 133 605 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 488 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 71 404 0 0 0 1 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 344 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 105 252 0 0 0 0 0 0 0 0 0 0 1 1 1
"0" 0 0 0 0 0 874 0 0 0 1 0 0 0 0 0 611 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 117 404 1 0 0 0 0 0 0 0 0 0 0 1 1
"1" 0 0 0 0 0 812 1 0 0 1 0 0 1 0 0 400 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 144 424 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 375 1 0 0 1 0 0 0 1 0 311 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 304 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 0 0 0 1 0 0 0 0 0 211 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 156 353 0 1 0 0 0 0 0 0 0 0 1 1 0
"1" 0 436 0 0 0 812 1 1 0 1 0 0 0 0 0 477 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 132 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 1 0 0 0 0 0 433 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 213 404 0 0 0 0 0 1 0 0 0 0 1 1 0
"0" 0 0 1 0 0 812 1 0 0 0 0 0 0 0 0 422 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 209 373 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 1 344 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 201 404 0 0 0 0 0 1 0 0 1 0 0 0 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 488 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 58 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 749 1 0 0 1 0 0 0 0 0 255 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 207 202 0 1 0 0 0 0 0 0 0 0 1 1 0
"1" 0 0 0 0 0 874 1 0 0 1 0 0 1 0 0 466 0 0 0 0 0 0 1 150 1 0 0 0 0 0 0 126 505 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 1 624 1 0 0 1 0 0 0 0 0 422 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 62 414 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 1 562 1 0 0 0 0 0 0 0 0 422 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 52 404 0 0 0 1 1 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 0 1 0 0 0 1 477 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 123 404 1 0 0 0 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 687 1 0 0 1 0 0 1 0 0 300 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 253 505 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 812 0 0 0 1 0 0 1 0 0 266 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 130 151 0 0 0 0 0 0 0 0 0 0 1 1 0
"1" 0 0 0 0 0 812 1 0 0 1 0 0 1 0 0 533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 111 656 1 0 0 0 0 0 0 0 0 1 0 1 0
"0" 0 0 0 0 0 624 1 0 0 0 0 0 0 0 0 588 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 102 505 0 0 0 1 1 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 1 0 1 0 0 0 0 0 355 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 188 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 411 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 226 505 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 1 0 624 1 0 0 0 0 0 0 0 0 244 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 133 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 430 1 0 0 812 1 0 0 0 0 0 0 0 0 466 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 144 383 0 0 0 0 0 0 0 0 1 0 0 1 1
"0" 0 0 0 0 0 812 1 0 0 1 0 0 1 0 0 389 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 124 505 1 0 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 812 1 0 0 0 0 0 0 0 0 433 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 183 505 0 0 0 1 1 1 0 0 0 0 0 1 0
"0" 0 0 1 0 0 624 0 0 0 0 0 0 0 0 0 511 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 282 404 1 0 0 0 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 812 0 0 0 1 0 0 0 0 0 311 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 129 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 874 1 0 0 1 0 0 0 0 0 533 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 239 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 812 1 0 0 0 0 0 0 0 0 278 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 153 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 1 687 0 0 1 1 0 0 0 0 0 488 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 72 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 1 0 1 0 0 0 0 0 278 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 130 404 0 0 0 0 0 0 0 0 0 0 1 1 0
"0" 0 0 0 0 1 687 1 0 0 1 0 0 0 0 0 411 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 123 454 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 1 0 562 1 0 0 1 0 0 0 0 0 599 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 14 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 377 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 257 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 687 1 0 0 1 0 0 0 0 1 389 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 143 383 0 0 0 1 0 0 0 0 0 0 0 0 0
"0" 0 0 0 0 0 624 0 0 0 1 0 1 0 0 0 355 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 158 505 0 0 0 0 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 437 1 0 0 0 0 0 1 0 0 311 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 171 404 0 0 0 0 1 0 0 0 0 0 1 1 0
"0" 0 0 0 0 0 624 1 0 0 1 0 0 0 0 0 255 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 61 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 233 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 64 404 0 1 0 0 0 0 0 0 0 0 1 1 0
"1" 0 0 0 0 0 874 1 0 0 1 0 0 0 0 0 566 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 98 505 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 1 687 1 0 0 0 0 0 0 0 0 455 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 134 656 0 0 0 1 1 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 477 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 139 605 0 0 0 0 0 0 0 0 1 0 0 1 0
"0" 0 0 0 0 0 187 1 1 0 1 0 0 0 0 0 710 0 0 0 0 0 0 1 21 0 0 0 0 0 0 0 114 404 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 1 562 1 0 0 1 0 0 0 0 0 433 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 172 605 1 0 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 1 562 1 0 0 0 1 0 0 0 0 355 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 119 555 0 0 0 1 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 1 0 0 0 0 0 0 1 1 222 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 218 404 0 0 0 0 0 0 0 0 0 0 1 0 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 344 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 120 404 1 0 0 0 0 0 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 0 588 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 209 404 1 1 0 0 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 733 0 0 0 0 0 0 1 106 0 0 0 0 0 0 0 78 404 0 0 0 1 0 0 0 0 0 0 0 1 1
"1" 0 0 0 0 0 874 1 0 0 1 0 0 0 0 0 488 0 0 0 0 0 0 1 150 0 0 0 0 0 0 0 133 404 0 0 0 1 0 1 0 0 0 0 0 1 0
"0" 0 0 0 0 0 562 0 0 0 1 0 0 0 0 1 244 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 154 383 0 0 0 0 0 0 0 0 0 0 1 0 0
"0" 0 0 0 0 0 812 1 0 0 1 0 0 0 0 0 500 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 134 151 0 0 0 1 0 0 0 0 0 0 0 1 0
"1" 0 0 0 0 0 624 1 0 0 0 0 0 0 0 1 400 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 271 404 0 0 0 1 0 0 0 0 0 0 0 0 1
