"band_type" "job_number" "unit_number" "ESA_Amperage" "ESA_Voltage" "anode_space_ratio" "blade_pressure" "hardener" "humifity" "ink_pct" "ink_temperature" "press_speed" "proof_cut" "roller_durometer" "roughness" "solvent_pct" "varnish_pct" "viscosity" "wax" "missing_ESA_Amperage" "missing_ESA_Voltage" "missing_anode_space_ratio" "missing_blade_pressure" "missing_hardener" "missing_humifity" "missing_ink_pct" "missing_ink_temperature" "missing_press_speed" "missing_proof_cut" "missing_roller_durometer" "missing_roughness" "missing_solvent_pct" "missing_varnish_pct" "missing_viscosity" "missing_wax" "blade_mfg.benton" "blade_mfg.uddeholm" "blade_mfg..MISSING" "caliper..200" "caliper.0.133" "caliper.0.167" "caliper.0.2" "caliper.0.200" "caliper.0.217" "caliper.0.233" "caliper.0.25" "caliper.0.267" "caliper.0.283" "caliper.0.3" "caliper.0.300" "caliper.0.333" "caliper.0.35" "caliper.0.367" "caliper.0.4" "caliper.0.433" "caliper.0.467" "caliper.0.5" "caliper.0.533" "caliper..MISSING" "chrome_content.90" "chrome_content.95" "chrome_content.100" "chrome_content..MISSING" "current_density.30" "current_density.33" "current_density.35" "current_density.37" "current_density.40" "current_density.42" "current_density.45" "current_density..MISSING" "customer.abbey" "customer.abbeypress" "customer.abbypress" "customer.adco" "customer.ames" "customer.austads" "customer.belk" "customer.belks" "customer.best" "customer.bestprod" "customer.brendls" "customer.burdines" "customer.campingworld" "customer.casliving" "customer.casualliving" "customer.cenpurch" "customer.childcraft" "customer.childworld" "customer.colorfulimage" "customer.colortil" "customer.colortile" "customer.competitivedge" "customer.cvs" "customer.downs" "customer.dunns" "customer.eckerd" "customer.eckerds" "customer.exxon" "customer.galls" "customer.global" "customer.globalequp" "customer.guideposts" "customer.gurney" "customer.hanhouse" "customer.hanoverhouse" "customer.hanoverhse" "customer.hanovrhous" "customer.hanovrhouse" "customer.hills" "customer.homeshop" "customer.homeshopping" "customer.jamesway" "customer.jcp" "customer.jcpenny" "customer.jfk" "customer.kidsrus" "customer.kmart" "customer.lazarus" "customer.lurias" "customer.massey" "customer.mervyns" "customer.modmat" "customer.natlwildlife" "customer.ntlwildlife" "customer.oldvillageshop" "customer.penney" "customer.rei" "customer.roses" "customer.sears" "customer.servmerch" "customer.sheplers" "customer.target" "customer.toysrus" "customer.tvguide" "customer.uscav" "customer.venture" "customer.walmart" "customer.wards" "customer.woolworth" "customer.woolwrth" "customer.yieldhouse" "cylinder_size.catalog" "cylinder_size.spiegel" "cylinder_size.tabloid" "cylinder_size..MISSING" "direct_steam.no" "direct_steam.yes" "direct_steam..MISSING" "grain_screened.no" "grain_screened.yes" "grain_screened..MISSING" "ink_type.coated" "ink_type.cover" "ink_type.uncoated" "paper_mill_location.canadian" "paper_mill_location.mideuropean" "paper_mill_location.northus" "paper_mill_location.scandanavian" "paper_mill_location.southus" "paper_mill_location..MISSING" "paper_type.coated" "paper_type.super" "paper_type.uncoated" "plating_tank.1910" "plating_tank.1911" "plating_tank..MISSING" "press.802" "press.813" "press.815" "press.816" "press.821" "press.824" "press.827" "press.828" "press_type.albert70" "press_type.motter70" "press_type.motter94" "press_type.woodhoe70" "proof_on_ctd_ink.no" "proof_on_ctd_ink.yes" "proof_on_ctd_ink..MISSING" "solvent_type.line" "solvent_type.naptha" "solvent_type.xylol" "solvent_type..MISSING" "type_on_cylinder.no" "type_on_cylinder.yes" "type_on_cylinder..MISSING"
"noband" 37000 9 0 0 106.6 30 1 68 48.5 16 1750 65 38 0.75 35.9 15.5 43 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0
"band" 35539 2 0 0 105 40 1 80 52.6 14 1700 50 38 0.75 36.8 10.5 50 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 35539 7 0 0 106.66 30 1 70 50 15 1600 50 38 1 40 10 50 2.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 23052 7 0 0 100 25 1 70 59.5 14.5 1500 40 40 0.625 40.5 0 45 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"noband" 35539 2 0 0 103.22 20 1 75 49.5 16 1600 50 38 1 34.7 15.8 43 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 47201 9 0 0 103.22 27 1 87 62.5 15 1400 56.7286958545446 40 1 37.5 0 45 2.5 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0
"noband" 38064 5 0 0 100 30 0.8 65 62.5 14 1600 30 33 1.15363110799808 37.5 0 45 2.5 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0
"noband" 38064 1 0 0 100 18 1.8 65 58.8 15.5 1600 30 33 0.769485741155222 35.3 5.9 45 2.5 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0
"noband" 35521 5 0 0 103.22 59 1 64 54.9 16.4 1400 60 32 0.75 34.1 11 38 2.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0
"noband" 35521 1 0 0 103.22 35 1.4 66 56.2 16.5 1400 60 32 0.75 37.1 6.7 38 1.1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0
"noband" 37571 2 0 0 107.4 30 1 70 58.8 16 2400 50 30 0.8125 41.2 0 45 1.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0
"noband" 35751 9 0 0 107.4 30 1 76 62.5 15 2400 40 30 0.8125 37.5 0 45 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0
"noband" 37340 2 0 4 96.875 25 1 70 58.1 16.3 2200 30 30 0.8125 40.7 1.2 43 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 35816 2 0 0 107.4 30 1 72 62.5 15.8 2000 40 30 1 37.5 0 41 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 37352 9 0 0 107.4 25 0.7 74 57.5 14.5 2100 40 35 1 34.5 8 42 2.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
"band" 37352 9 0 0 107.4 20 0.7 70 57.5 14 1850 45 35 1 34.5 8 42 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0
